SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;REDE;VL_OBSERVADO_2023;VL_PROJECAO_2021;acima_meta
ES;3204054;Pedro Canário;Municipal;4.6;4.6;True
ES;3204104;Pinheiros;Estadual;5.9;5.6;True
ES;3204104;Pinheiros;Municipal;4.9;5.5;False
ES;3204203;Piúma;Estadual;5.5;6.3;False
ES;3204203;Piúma;Municipal;4.9;5.4;False
ES;3204252;Ponto Belo;Estadual;4.9;5.7;False
ES;3204252;Ponto Belo;Municipal;5.0;5.0;True
ES;3204302;Presidente Kennedy;Estadual;;5.0;False
ES;3204302;Presidente Kennedy;Municipal;4.8;4.8;True
ES;3204351;Rio Bananal;Estadual;;6.6;False
ES;3204351;Rio Bananal;Municipal;4.8;5.7;False
ES;3204401;Rio Novo do Sul;Estadual;5.2;6.0;False
ES;3204500;Santa Leopoldina;Estadual;5.1;5.3;False
ES;3204559;Santa Maria de Jetibá;Estadual;6.0;5.7;True
ES;3204559;Santa Maria de Jetibá;Municipal;5.2;3.9;True
ES;3204609;Santa Teresa;Estadual;6.2;5.4;True
ES;3204609;Santa Teresa;Municipal;6.0;6.0;True
ES;3204658;São Domingos do Norte;Estadual;5.1;5.9;False
ES;3204658;São Domingos do Norte;Municipal;5.1;5.4;False
ES;3204708;São Gabriel da Palha;Estadual;5.8;6.2;False
ES;3204708;São Gabriel da Palha;Municipal;4.7;5.7;False
ES;3204807;São José do Calçado;Estadual;5.0;6.0;False
ES;3204807;São José do Calçado;Municipal;5.2;5.4;False
ES;3204906;São Mateus;Estadual;5.5;5.6;False
ES;3204906;São Mateus;Municipal;3.9;5.9;False
ES;3204955;São Roque do Canaã;Estadual;5.1;6.0;False
ES;3204955;São Roque do Canaã;Municipal;5.7;6.3;False
ES;3205002;Serra;Estadual;5.1;5.2;False
ES;3205002;Serra;Municipal;4.5;5.7;False
ES;3205010;Sooretama;Estadual;;5.7;False
ES;3205010;Sooretama;Municipal;4.6;5.0;False
ES;3205036;Vargem Alta;Estadual;5.8;5.0;True
ES;3205036;Vargem Alta;Municipal;4.9;5.7;False
ES;3205069;Venda Nova do Imigrante;Estadual;6.0;6.1;False
ES;3205069;Venda Nova do Imigrante;Municipal;5.8;5.7;True
ES;3205101;Viana;Estadual;4.9;4.4;True
ES;3205101;Viana;Municipal;4.9;5.2;False
ES;3205150;Vila Pavão;Municipal;5.6;6.3;False
ES;3205176;Vila Valério;Estadual;5.8;6.1;False
ES;3205176;Vila Valério;Municipal;5.0;6.1;False
ES;3205200;Vila Velha;Estadual;5.1;5.3;False
ES;3205200;Vila Velha;Municipal;5.2;5.6;False
ES;3205309;Vitória;Estadual;4.4;4.8;False
ES;3205309;Vitória;Municipal;5.0;5.5;False
