CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;REDE;ANO_ESCOLAR;QT_MATRICULAS;TAXA_EVASAO;TAXA_APROVACAO;TAXA_REPROVACAO;EVASAO_ABSOLUTA;APROVADOS_ABSOLUTOS;REPROVADOS_ABSOLUTOS
3200706;Atílio Vivácqua;ES;Municipal;7;147;0.0;0.9129999999999999;0.087;0.0;134.21099999999998;12.789
3200706;Atílio Vivácqua;ES;Municipal;8;135;0.0;0.9690000000000001;0.031;0.0;130.815;4.185
3200706;Atílio Vivácqua;ES;Municipal;9;162;0.0;0.961;0.039;0.0;155.682;6.318
3200805;Baixo Guandu;ES;Estadual;6;111;0.0;1.0;0.0;0.0;111.0;0.0
3200805;Baixo Guandu;ES;Estadual;7;79;0.0;1.0;0.0;0.0;79.0;0.0
3200805;Baixo Guandu;ES;Estadual;8;88;0.0;1.0;0.0;0.0;88.0;0.0
3200805;Baixo Guandu;ES;Estadual;9;67;0.0;1.0;0.0;0.0;67.0;0.0
3200805;Baixo Guandu;ES;Municipal;6;254;0.0;0.938;0.062;0.0;238.25199999999998;15.748
3200805;Baixo Guandu;ES;Municipal;7;268;0.0;0.9179999999999999;0.08199999999999999;0.0;246.02399999999997;21.975999999999996
3200805;Baixo Guandu;ES;Municipal;8;218;0.0;0.9259999999999999;0.07400000000000001;0.0;201.868;16.132
3200805;Baixo Guandu;ES;Municipal;9;260;0.0;0.9520000000000001;0.048;0.0;247.52;12.48
3200904;Barra de São Francisco;ES;Estadual;6;219;0.013999999999999999;0.977;0.009000000000000001;3.066;213.963;1.9710000000000003
3200904;Barra de São Francisco;ES;Estadual;7;226;0.004;0.991;0.005;0.904;223.966;1.1300000000000001
3200904;Barra de São Francisco;ES;Estadual;8;217;0.024;0.943;0.033;5.208;204.631;7.1610000000000005
3200904;Barra de São Francisco;ES;Estadual;9;236;0.009000000000000001;0.987;0.004;2.124;232.932;0.9440000000000001
3200904;Barra de São Francisco;ES;Municipal;6;296;0.0;0.848;0.152;0.0;251.00799999999998;44.992
3200904;Barra de São Francisco;ES;Municipal;7;272;0.0;0.8759999999999999;0.124;0.0;238.27199999999996;33.728
3200904;Barra de São Francisco;ES;Municipal;8;245;0.0;0.871;0.129;0.0;213.395;31.605
3200904;Barra de São Francisco;ES;Municipal;9;229;0.0;0.991;0.009000000000000001;0.0;226.939;2.0610000000000004
3201001;Boa Esperança;ES;Estadual;6;122;0.0;1.0;0.0;0.0;122.0;0.0
3201001;Boa Esperança;ES;Estadual;7;133;0.0;0.993;0.006999999999999999;0.0;132.069;0.9309999999999999
3201001;Boa Esperança;ES;Estadual;8;124;0.0;0.992;0.008;0.0;123.008;0.992
3201001;Boa Esperança;ES;Estadual;9;124;0.0;1.0;0.0;0.0;124.0;0.0
3201001;Boa Esperança;ES;Municipal;6;102;0.0;0.9790000000000001;0.021;0.0;99.858;2.1420000000000003
3201001;Boa Esperança;ES;Municipal;7;77;0.0;0.987;0.013000000000000001;0.0;75.999;1.0010000000000001
3201001;Boa Esperança;ES;Municipal;8;79;0.0;0.945;0.055;0.0;74.655;4.345
3201001;Boa Esperança;ES;Municipal;9;72;0.0;1.0;0.0;0.0;72.0;0.0
3201100;Bom Jesus do Norte;ES;Estadual;6;24;0.0;1.0;0.0;0.0;24.0;0.0
3201100;Bom Jesus do Norte;ES;Estadual;7;14;0.0;1.0;0.0;0.0;14.0;0.0
3201100;Bom Jesus do Norte;ES;Estadual;8;34;0.0;1.0;0.0;0.0;34.0;0.0
3201100;Bom Jesus do Norte;ES;Estadual;9;18;0.0;1.0;0.0;0.0;18.0;0.0
3201100;Bom Jesus do Norte;ES;Municipal;6;93;0.0;0.89;0.11;0.0;82.77;10.23
3201100;Bom Jesus do Norte;ES;Municipal;7;57;0.0;0.7859999999999999;0.214;0.0;44.80199999999999;12.198
3201100;Bom Jesus do Norte;ES;Municipal;8;49;0.0;0.833;0.16699999999999998;0.0;40.817;8.183
3201100;Bom Jesus do Norte;ES;Municipal;9;57;0.0;0.943;0.057;0.0;53.751;3.249
3201159;Brejetuba;ES;Estadual;6;188;0.0;0.988;0.012;0.0;185.744;2.2560000000000002
3201159;Brejetuba;ES;Estadual;7;209;0.0;0.9740000000000001;0.026000000000000002;0.0;203.56600000000003;5.434
3201159;Brejetuba;ES;Estadual;8;192;0.017;0.983;0.0;3.2640000000000002;188.736;0.0
3201159;Brejetuba;ES;Estadual;9;178;0.0;1.0;0.0;0.0;178.0;0.0
3201159;Brejetuba;ES;Municipal;6;28;0.0;1.0;0.0;0.0;28.0;0.0
3201159;Brejetuba;ES;Municipal;7;28;0.0;1.0;0.0;0.0;28.0;0.0
3201159;Brejetuba;ES;Municipal;8;29;0.0;1.0;0.0;0.0;29.0;0.0
3201159;Brejetuba;ES;Municipal;9;23;0.0;1.0;0.0;0.0;23.0;0.0
3201209;Cachoeiro de Itapemirim;ES;Estadual;6;1333;0.001;0.965;0.034;1.333;1286.345;45.322
3201209;Cachoeiro de Itapemirim;ES;Estadual;7;1382;0.0;0.978;0.022000000000000002;0.0;1351.596;30.404000000000003
3201209;Cachoeiro de Itapemirim;ES;Estadual;8;1371;0.0;0.966;0.034;0.0;1324.386;46.614000000000004
3201209;Cachoeiro de Itapemirim;ES;Estadual;9;1422;0.0;0.982;0.018000000000000002;0.0;1396.404;25.596000000000004
3201209;Cachoeiro de Itapemirim;ES;Municipal;6;955;0.013000000000000001;0.82;0.16699999999999998;12.415000000000001;783.0999999999999;159.48499999999999
3201209;Cachoeiro de Itapemirim;ES;Municipal;7;657;0.011000000000000001;0.815;0.174;7.227;535.4549999999999;114.318
3201209;Cachoeiro de Itapemirim;ES;Municipal;8;681;0.013000000000000001;0.8390000000000001;0.14800000000000002;8.853000000000002;571.359;100.78800000000001
