CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;REDE;ANO_ESCOLAR;QT_MATRICULAS
3204708;São Gabriel da Palha;ES;Municipal;9;175
3204807;São José do Calçado;ES;Estadual;9;64
3204807;São José do Calçado;ES;Municipal;9;63
3204906;São Mateus;ES;Estadual;9;522
3204906;São Mateus;ES;Municipal;9;888
3204955;São Roque do Canaã;ES;Estadual;9;95
3204955;São Roque do Canaã;ES;Municipal;9;40
3205002;Serra;ES;Estadual;9;3322
3205002;Serra;ES;Municipal;9;2536
3205010;Sooretama;ES;Estadual;9;85
3205010;Sooretama;ES;Municipal;9;341
3205036;Vargem Alta;ES;Estadual;9;98
3205036;Vargem Alta;ES;Municipal;9;118
3205069;Venda Nova do Imigrante;ES;Estadual;9;147
3205069;Venda Nova do Imigrante;ES;Municipal;9;103
3205101;Viana;ES;Estadual;9;286
3205101;Viana;ES;Municipal;9;635
3205150;Vila Pavão;ES;Estadual;9;29
3205150;Vila Pavão;ES;Municipal;9;101
3205176;Vila Valério;ES;Estadual;9;67
3205176;Vila Valério;ES;Municipal;9;137
3205200;Vila Velha;ES;Estadual;9;773
3205200;Vila Velha;ES;Municipal;9;3353
3205309;Vitória;ES;Estadual;9;440
3205309;Vitória;ES;Municipal;9;2187
